section,carat_band_from,carat_band_to,color,clarity,base_price_usd_per_carat,is_active
,1.0,1.5,D,IF,250,True
,1.5,2.0,D,IF,380,True
,2.0,2.5,D,IF,480,True
,2.5,3.0,D,IF,0,True
,3.0,3.5,D,IF,0,True
,3.5,4.0,D,IF,0,True
,4.0,4.5,D,IF,0,True
,4.5,5.0,D,IF,0,True
,5.0,5.01,D,IF,0,False
,1.0,1.5,D,VVS1,125,True
,1.5,2.0,D,VVS1,150,True
,2.0,2.5,D,VVS1,170,True
,2.5,3.0,D,VVS1,210,True
,3.0,3.5,D,VVS1,245,True
,3.5,4.0,D,VVS1,0,True
,4.0,4.5,D,VVS1,325,True
,4.5,5.0,D,VVS1,0,True
,5.0,5.01,D,VVS1,0,False
,1.0,1.5,D,VVS2,110,True
,1.5,2.0,D,VVS2,115,True
,2.0,2.5,D,VVS2,120,True
,2.5,3.0,D,VVS2,125,True
,3.0,3.5,D,VVS2,135,True
,3.5,4.0,D,VVS2,145,True
,4.0,4.5,D,VVS2,160,True
,4.5,5.0,D,VVS2,170,True
,5.0,5.01,D,VVS2,230,False
,1.0,1.5,D,VS1,100,True
,1.5,2.0,D,VS1,100,True
,2.0,2.5,D,VS1,105,True
,2.5,3.0,D,VS1,115,True
,3.0,3.5,D,VS1,125,True
,3.5,4.0,D,VS1,130,True
,4.0,4.5,D,VS1,0,True
,4.5,5.0,D,VS1,0,True
,5.0,5.01,D,VS1,0,False
,1.0,1.5,D,VS2,0,True
,1.5,2.0,D,VS2,0,True
,2.0,2.5,D,VS2,0,True
,2.5,3.0,D,VS2,0,True
,3.0,3.5,D,VS2,0,True
,3.5,4.0,D,VS2,0,True
,4.0,4.5,D,VS2,0,True
,4.5,5.0,D,VS2,0,True
,5.0,5.01,D,VS2,0,False
,1.0,1.5,E,IF,185,True
,1.5,2.0,E,IF,0,True
,2.0,2.5,E,IF,0,True
,2.5,3.0,E,IF,0,True
,3.0,3.5,E,IF,0,True
,3.5,4.0,E,IF,0,True
,4.0,4.5,E,IF,0,True
,4.5,5.0,E,IF,0,True
,5.0,5.01,E,IF,0,False
,1.0,1.5,E,VVS1,120,True
,1.5,2.0,E,VVS1,145,True
,2.0,2.5,E,VVS1,150,True
,2.5,3.0,E,VVS1,160,True
,3.0,3.5,E,VVS1,165,True
,3.5,4.0,E,VVS1,0,True
,4.0,4.5,E,VVS1,0,True
,4.5,5.0,E,VVS1,0,True
,5.0,5.01,E,VVS1,0,False
,1.0,1.5,E,VVS2,105,True
,1.5,2.0,E,VVS2,110,True
,2.0,2.5,E,VVS2,105,True
